Правильные,Ошибочные,Индифферентные,% правильных,% ошибочных,% индиф.
0,61,18,1,76.25,22.5,1.25
1,64,15,1,80.0,18.75,1.25
2,54,23,3,67.5,28.75,3.75
3,58,22,0,72.5,27.5,0.0
4,63,16,1,78.75,20.0,1.25
5,55,25,0,68.75,31.25,0.0
6,58,21,1,72.5,26.25,1.25
7,58,21,1,72.5,26.25,1.25
8,60,14,6,75.0,17.5,7.5
9,56,18,6,70.0,22.5,7.5
