Правильные,Ошибочные,Индифферентные,% правильных,% ошибочных,% индиф.
0,51,28,1,63.75,35.0,1.25
1,46,28,6,57.5,35.0,7.5
2,44,31,5,55.0,38.75,6.25
3,44,32,4,55.0,40.0,5.0
4,45,28,7,56.25,35.0,8.75
5,45,29,6,56.25,36.25,7.5
6,53,22,5,66.25,27.5,6.25
7,48,28,4,60.0,35.0,5.0
8,40,33,7,50.0,41.25,8.75
9,46,29,5,57.5,36.25,6.25
