Правильные,Ошибочные,Индифферентные,% правильных,% ошибочных,% индиф.
0,60,14,6,75.0,17.5,7.5
1,62,15,3,77.5,18.75,3.75
2,48,28,4,60.0,35.0,5.0
3,62,17,1,77.5,21.25,1.25
4,69,10,1,86.25,12.5,1.25
5,61,12,7,76.25,15.0,8.75
6,66,11,3,82.5,13.75,3.75
7,57,16,7,71.25,20.0,8.75
8,62,13,5,77.5,16.25,6.25
9,63,15,2,78.75,18.75,2.5
