Правильные,Ошибочные,Индифферентные,% правильных,% ошибочных,% индиф.
0,32,24,24,40.0,30.0,30.0
1,30,19,31,37.5,23.75,38.75
2,19,19,42,23.75,23.75,52.5
3,27,18,35,33.75,22.5,43.75
4,30,22,28,37.5,27.5,35.0
5,23,22,35,28.75,27.5,43.75
6,17,14,49,21.25,17.5,61.25
7,15,21,44,18.75,26.25,55.0
8,31,12,37,38.75,15.0,46.25
9,27,14,39,33.75,17.5,48.75
