Правильные,Ошибочные,Индифферентные,% правильных,% ошибочных,% индиф.
0,47,33,0,58.75,41.25,0.0
1,49,29,2,61.25,36.25,2.5
2,37,40,3,46.25,50.0,3.75
3,50,28,2,62.5,35.0,2.5
4,43,37,0,53.75,46.25,0.0
5,38,41,1,47.5,51.25,1.25
6,43,34,3,53.75,42.5,3.75
7,40,36,4,50.0,45.0,5.0
8,45,34,1,56.25,42.5,1.25
9,50,29,1,62.5,36.25,1.25
