Правильные,Ошибочные,Индифферентные,% правильных,% ошибочных,% индиф.
0,55,14,11,68.75,17.5,13.75
1,51,11,18,63.75,13.75,22.5
2,52,23,5,65.0,28.75,6.25
3,57,17,6,71.25,21.25,7.5
4,57,9,14,71.25,11.25,17.5
5,45,15,20,56.25,18.75,25.0
6,55,15,10,68.75,18.75,12.5
7,52,13,15,65.0,16.25,18.75
8,54,16,10,67.5,20.0,12.5
9,60,7,13,75.0,8.75,16.25
