Правильные,Ошибочные,Индифферентные,% правильных,% ошибочных,% индиф.
0,40,28,12,50.0,35.0,15.0
1,52,17,11,65.0,21.25,13.75
2,41,28,11,51.25,35.0,13.75
3,47,23,10,58.75,28.75,12.5
4,35,27,18,43.75,33.75,22.5
5,38,26,16,47.5,32.5,20.0
6,44,27,9,55.0,33.75,11.25
7,39,29,12,48.75,36.25,15.0
8,36,36,8,45.0,45.0,10.0
9,51,19,10,63.75,23.75,12.5
